=> 2-grams:
de la: 1308 
en el: 752 
en la: 693 
a la: 484 
de los: 445 
de su: 419 
de que: 394 
José Arcadio: 358 
que se: 320 
con la: 283 
la casa: 261 
por la: 254 
de las: 234 
que no: 226 
por el: 217 
y la: 215 
en un: 213 
en que: 209 
a los: 209 
años de: 201 
y el: 199 
que le: 199 
coronel Aureliano: 198 
Aureliano Segundo: 197 
y se: 195 
con el: 194 
que el: 193 
en los: 191 
que la: 190 
de soledad: 178 
con una: 178 
para que: 172 
Gabriel García: 171 
García Márquez: 171 
Cien años: 171 
soledad Gabriel: 170 
Aureliano Buendía: 170 
de un: 168 
con un: 158 
de sus: 158 
Arcadio Buendía: 156 
a su: 154 
en una: 151 
el coronel: 145 
y que: 144 
de una: 137 
a las: 132 
en las: 128 
con los: 128 
que había: 127 
no se: 122 
y los: 119 
se le: 116 
que en: 111 
que lo: 111 
en su: 110 
que los: 104 
y las: 103 
antes de: 103 
que era: 102 
lo que: 99 
con su: 99 
y le: 95 
después de: 95 
volvió a: 90 
como un: 89 
la puerta: 86 
se había: 81 
que su: 80 
por los: 80 
Amaranta Úrsula: 80 
y no: 78 
y a: 76 
como si: 76 
Arcadio Segundo: 76 
y en: 75 
y una: 74 
le había: 74 
con sus: 74 
hasta el: 73 
por un: 67 
la muerte: 67 
y con: 66 
que ella: 66 
todo el: 65 
le dijo: 65 
la guerra: 64 
y de: 63 
con que: 63 
de José: 63 
sino que: 63 
y lo: 63 
era un: 62 
con las: 62 
el cuarto: 62 
que estaba: 62 
no había: 61 
la casa.: 60 
cuenta de: 60 
Gerineldo Márquez: 60 
por las: 59 
en sus: 59 
no le: 59 
la mano: 59 
dijo .: 58 
Pietro Crespi: 58 
coronel Gerineldo: 58 
Petra Cotes: 58 
la calle: 57 
hasta que: 57 
y un: 57 
más de: 57 
modo que: 57 
la noche: 57 
la cama: 56 
a sus: 56 
que él: 55 
de Úrsula: 55 
Úrsula se: 55 
Remedios la: 55 
del coronel: 55 
Santa Sofía: 53 
Sofía de: 53 
las cosas: 52 
la vida: 52 
que las: 52 
se lo: 51 
no sólo: 51 
el tiempo: 51 
la familia: 50 
El coronel: 50 
el mundo: 49 
a un: 49 
para el: 49 
y su: 49 
no era: 49 
la Piedad: 49 
único que: 48 
la misma: 48 
hasta la: 48 
de Aureliano: 48 
casa de: 48 
era el: 47 
para la: 47 
a Aureliano: 47 
toda la: 46 
el día: 46 
de Macondo: 46 
Pilar Ternera: 46 
la bella: 46 
había de: 45 
su padre: 45 
la mesa: 45 
y por: 45 
cuando se: 45 
los ojos: 45 
ni siquiera: 45 
el pueblo: 44 
de Melquíades: 43 
de oro: 43 
punto de: 43 
como una: 43 
la primera: 43 
todos los: 43 
la sala: 43 
que Aureliano: 43 
un hombre: 42 
los niños: 42 
por una: 42 
la tarde: 42 
Sin embargo: 42 
que tenía: 42 
pesar de: 41 
y sus: 41 
el mismo: 41 
que Úrsula: 41 
había sido: 41 
desde la: 41 
se dio: 41 
que a: 41 
era una: 40 
todas las: 40 
y hasta: 40 
casa y: 40 
que nunca: 40 
le dio: 40 
de Amaranta: 40 
el corredor: 40 
otra vez: 39 
En el: 39 
que ya: 39 
la cabeza: 39 
pero no: 39 
la compañía: 39 
el patio: 38 
le hizo: 38 
primera vez: 38 
su madre: 38 
una mujer: 38 
trató de: 37 
que nadie: 37 
en Macondo: 37 
más que: 37 
no pudo: 37 
desde el: 37 
empezó a: 37 
tratando de: 36 
a José: 36 
fue a: 36 
y al: 36 
que una: 36 
cuarto de: 36 
sin embargo: 36 
la gente: 35 
la cocina: 35 
En la: 35 
por su: 35 
al coronel: 35 
el nombre: 34 
a Úrsula: 34 
la mañana: 34 
para no: 34 
vez que: 34 
no lo: 34 
noche en: 34 
la lluvia: 34 
que habían: 34 
dio cuenta: 34 
mucho tiempo: 33 
se fue: 33 
los tiempos: 33 
había hecho: 33 
a Amaranta: 33 
Buendía no: 32 
idea de: 32 
de no: 32 
tiempo de: 32 
estaba en: 32 
Aureliano José: 32 
cada vez: 31 
iba a: 31 
a una: 31 
en aquel: 30 
la tierra: 30 
la hora: 30 
en realidad: 30 
de tres: 30 
el primer: 30 
se habían: 30 
